Date,2Y,3Y,5Y,10Y,2s10s_bp,3s10s_bp,2s5s_bp
2013-05-20,,,,3.229,,,
2013-05-21,,,,3.263,,,
2013-05-22,,,,3.272,,,
2013-05-23,,,,3.299,,,
2013-05-24,,,,3.316,,,
2013-05-27,,,,3.279,,,
2013-05-28,,,,3.333,,,
2013-05-29,,,,3.479,,,
2013-05-30,,,,3.403,,,
2013-05-31,,,,3.365,,,
2013-06-03,,,,3.429,,,
2013-06-04,,,,3.449,,,
2013-06-05,,,,3.397,,,
2013-06-06,,,,3.349,,,
2013-06-07,,,,3.264,,,
2013-06-11,,,,3.418,,,
2013-06-12,,,,3.464,,,
2013-06-13,,,,3.404,,,
2013-06-14,,,,3.375,,,
2013-06-17,,,,3.408,,,
2013-06-18,,,,3.408,,,
2013-06-19,,,,3.436,,,
2013-06-20,,,,3.649,,,
2013-06-21,,,,3.769,,,
2013-06-24,,,,4.051,,,
2013-06-25,,,,3.813,,,
2013-06-26,,,,3.855,,,
2013-06-27,,,,3.833,,,
2013-06-28,,,,3.774,,,
2013-07-01,,,,3.838,,,
2013-07-02,,,,3.755,,,
2013-07-03,,,,3.76,,,
2013-07-04,,,,3.812,,,
2013-07-05,,,,3.836,,,
2013-07-08,,,,3.92,,,
2013-07-09,,,,3.897,,,
2013-07-10,,,,3.858,,,
2013-07-11,,,,3.754,,,
2013-07-12,,,,3.762,,,
2013-07-15,,,,3.746,,,
2013-07-16,,,,3.771,,,
2013-07-17,,,,3.768,,,
2013-07-18,,,,3.687,,,
2013-07-19,,,,3.692,,,
2013-07-22,,,,3.674,,,
2013-07-23,,,,3.676,,,
2013-07-24,,,,3.706,,,
2013-07-25,,,,3.799,,,
2013-07-26,,,,3.801,,,
2013-07-29,,,,3.761,,,
2013-07-30,,,,3.726,,,
2013-07-31,,,,3.747,,,
2013-08-01,,,,3.692,,,
2013-08-02,,,,3.818,,,
2013-08-05,,,,,,,
2013-08-06,,,,3.74,,,
2013-08-07,,,,3.718,,,
2013-08-08,,,,3.699,,,
2013-08-09,,,,3.739,,,
2013-08-12,,,,3.715,,,
2013-08-13,,,,3.78,,,
2013-08-14,,,,3.879,,,
2013-08-15,,,,3.926,,,
2013-08-16,,,,4.001,,,
2013-08-19,,,,4.05,,,
2013-08-20,,,,4.005,,,
2013-08-21,,,,4.005,,,
2013-08-22,,,,4.109,,,
2013-08-23,,,,4.082,,,
2013-08-26,,,,4.044,,,
2013-08-27,,,,3.965,,,
2013-08-28,,,,3.938,,,
2013-08-29,,,,3.944,,,
2013-08-30,,,,3.928,,,
2013-09-02,2.594,2.8,3.258,3.989,139.5,118.9,66.40000000000002
2013-09-03,2.652,2.857,3.312,4.03,137.8,117.30000000000001,65.99999999999997
2013-09-04,2.714,2.925,3.373,4.055,134.09999999999997,112.99999999999999,65.90000000000002
2013-09-05,2.752,2.968,3.412,4.106,135.4,113.79999999999998,66.00000000000001
2013-09-06,2.79,3.007,3.455,4.177,138.69999999999996,116.99999999999994,66.5
2013-09-09,2.734,2.95,3.399,4.107,137.3,115.7,66.5
2013-09-10,2.814,3.03,3.474,4.164,134.99999999999997,113.39999999999999,66.00000000000001
2013-09-11,2.805,3.035,3.476,4.206,140.10000000000002,117.10000000000002,67.09999999999998
2013-09-12,2.699,2.923,3.361,4.077,137.8,115.39999999999999,66.20000000000003
2013-09-13,2.739,2.971,3.41,4.124,138.49999999999997,115.29999999999995,67.10000000000002
2013-09-16,2.69,2.905,3.338,4.033,134.30000000000004,112.80000000000005,64.80000000000001
2013-09-17,2.736,2.957,3.392,4.087,135.09999999999997,112.99999999999999,65.59999999999997
2013-09-18,2.745,2.969,3.402,4.1,135.49999999999994,113.09999999999998,65.7
2013-09-19,2.622,2.821,3.239,3.923,130.10000000000002,110.19999999999999,61.7
2013-09-20,2.66,2.863,3.283,3.98,131.99999999999997,111.7,62.299999999999976
2013-09-23,2.68,2.887,3.307,4.007,132.69999999999996,111.99999999999997,62.699999999999974
2013-09-24,2.631,2.835,3.251,3.941,131.0,110.6,62.000000000000014
2013-09-25,2.602,2.804,3.213,3.917,131.5,111.3,61.10000000000002
2013-09-26,2.613,2.816,3.225,3.92,130.7,110.4,61.20000000000001
2013-09-27,2.607,2.807,3.214,3.902,129.5,109.50000000000001,60.699999999999974
2013-09-30,2.57,2.765,3.167,3.85,128.00000000000003,108.5,59.699999999999996
2013-10-01,2.637,2.832,3.229,3.89,125.30000000000001,105.80000000000003,59.20000000000001
2013-10-02,2.639,2.841,3.234,3.891,125.20000000000002,104.99999999999999,59.50000000000002
2013-10-03,2.635,2.841,3.232,3.893,125.8,105.19999999999996,59.700000000000045
2013-10-04,2.68,2.908,3.31,3.982,130.20000000000002,107.40000000000003,62.999999999999986
2013-10-07,,,,,,,
2013-10-08,2.714,2.948,3.349,4.027,131.3,107.90000000000002,63.50000000000002
2013-10-09,2.737,2.97,3.368,4.036,129.89999999999995,106.59999999999994,63.09999999999998
2013-10-10,2.798,3.044,3.445,4.111,131.29999999999998,106.69999999999997,64.69999999999997
2013-10-11,2.784,3.024,3.422,4.079,129.5,105.49999999999997,63.80000000000003
2013-10-14,2.756,2.997,3.398,4.071,131.5,107.39999999999998,64.20000000000003
2013-10-15,2.816,3.083,3.489,4.155,133.90000000000003,107.2,67.30000000000001
2013-10-16,2.82,3.087,3.502,4.191,137.1,110.39999999999996,68.19999999999999
2013-10-17,2.731,2.988,3.4,4.088,135.70000000000002,110.00000000000001,66.9
2013-10-18,2.723,2.977,3.391,4.068,134.49999999999997,109.09999999999998,66.80000000000001
2013-10-21,2.711,2.968,3.376,4.034,132.29999999999998,106.59999999999998,66.5
2013-10-22,2.736,2.998,3.402,4.058,132.19999999999996,105.99999999999996,66.6
2013-10-23,2.679,2.935,3.323,3.944,126.50000000000001,100.89999999999999,64.4
2013-10-24,2.678,2.936,3.323,3.943,126.50000000000001,100.70000000000002,64.5
2013-10-25,2.675,2.929,3.315,3.924,124.9,99.50000000000001,64.00000000000001
2013-10-28,2.685,2.939,3.328,3.965,127.99999999999999,102.59999999999998,64.29999999999998
