Meeting Date,Decision Type,Decision (bp),Cash Rate (%),Before Date,After Date,2Y Change (bp),3Y Change (bp),5Y Change (bp),10Y Change (bp),2s10s Change (bp)
2025-02-18,Cut,-25,4.1,2025-02-17,2025-02-18,5.4,5.5,5.6,5.4,0.0
2025-04-01,Hold,0,4.1,2025-03-31,2025-04-01,-0.9,-0.3,0.1,-1.1,-0.2
2025-05-20,Cut,-25,3.8,2025-05-19,2025-05-20,-16.4,-16.9,-15.5,-12.4,4.0
2025-07-08,Hold,0,3.8,2025-07-07,2025-07-08,11.6,11.1,10.6,8.1,-3.5
2025-08-12,Cut,-25,3.6,2025-08-11,2025-08-12,-1.1,-1.0,-1.2,-0.6,0.5
2025-09-30,Hold,0,3.6,2025-09-29,2025-09-30,1.2,0.9,-0.2,-3.5,-4.7
2025-11-04,Hold,0,3.6,2025-11-03,2025-11-04,2.5,3.4,3.0,1.5,-1.0
2025-12-09,Hold,0,3.6,2025-12-08,2025-12-09,9.7,10.2,9.0,5.4,-4.3
2026-02-03,Hike,25,3.8,2026-02-02,2026-02-03,7.4,6.5,5.6,3.7,-3.7
2026-03-17,Hike,25,4.1,2026-03-16,2026-03-17,-2.2,-4.2,-4.6,-6.2,-4.0
2026-05-05,Hike,25,4.4,2026-05-04,2026-05-05,-2.1,-3.2,-2.7,-1.0,1.1
2026-06-16,Hold,0,4.4,2026-06-15,2026-06-16,-0.4,-0.3,0.7,2.0,2.4
2026-08-11,Hold,0,4.4,2026-08-10,2026-08-11,2.5,2.4,2.9,4.0,1.5
